법정동시군구코드,시군구,법정동,지번,단지명,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,해제여부,해제사유발생일,거래유형,중개사소재지,매도자,매수자,자치구
11110,종로구,수송동,58,두산위브파빌리온,57.96,2024,6,21,40000,9,2004,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,숭인동,1368,숭인한성아펠시티,22.28,2024,6,20,29500,15,2021,None,None,직거래,None,개인,개인,종로구
11110,종로구,사직동,9,광화문 스페이스본,39.54,2024,6,27,40000,11,2008,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,숭인동,1419-2,에비뉴 청계 Ⅰ,25.92,2024,6,19,22840,5,2023,None,None,직거래,None,법인,개인,종로구
11110,종로구,신문로2가,171,디팰리스,51.336,2024,6,25,93500,6,2020,None,None,중개거래,"서울 서초구, 서울 성동구",개인,개인,종로구
11110,종로구,수송동,58,두산위브파빌리온,57.96,2024,6,21,40000,9,2004,O,24.12.03,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,낙원동,58-1,종로오피스텔,29.7,2024,6,25,18000,9,1994,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,숭인동,310,종로대우디오빌,29.65,2024,6,15,17500,15,2004,None,None,중개거래,"서울 영등포구, 서울 종로구",개인,개인,종로구
11110,종로구,내수동,74,광화문시대,73.78,2024,6,10,73600,15,2004,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,사직동,9,광화문 스페이스본,39.54,2024,6,20,41000,10,2008,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,종로1가,24,르메이에르종로타운1,56.64,2024,6,5,43800,12,2007,None,None,중개거래,서울 종로구,개인,법인,종로구
11110,종로구,신문로2가,171,디팰리스,81.516,2024,6,12,180000,8,2020,None,None,중개거래,서울 성동구,개인,개인,종로구
11110,종로구,낙원동,58-1,종로오피스텔,25.2,2024,6,17,16000,13,1994,None,None,중개거래,서울 종로구,개인,법인,종로구
11110,종로구,내수동,73,경희궁의 아침 4단지,40.03,2024,6,22,36000,7,2004,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,종로1가,24,르메이에르종로타운1,57.5,2024,6,13,60000,14,2007,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,숭인동,1392-1,종로 아인스빌,17.88,2024,6,14,9980,5,2013,None,None,직거래,None,개인,법인,종로구
11110,종로구,사직동,9,광화문 스페이스본,39.54,2024,6,13,40350,9,2008,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,수송동,58,두산위브파빌리온,74.84,2024,6,19,62000,13,2004,None,None,직거래,None,법인,개인,종로구
11110,종로구,수송동,58,두산위브파빌리온,37.42,2024,6,21,32000,3,2004,None,None,중개거래,서울 종로구,개인,개인,종로구
11110,종로구,연지동,56,더넥스트 종로,18.66,2024,6,8,25000,9,2022,None,None,중개거래,서울 종로구,개인,개인,종로구
