adm_cd,adm_nm,자치구,res_building_n,area_km2,new_density,avg_age,old30_ratio,avg_units,small_ratio
1111051500,청운효자동,종로구,1803,2.5685600682299867,23.75,37.17,0.54,2.64,0.8236
1111053000,사직동,종로구,960,1.157671317613387,6.91,40.31,0.6398,2.78,0.9125
1111054000,삼청동,종로구,632,1.4771876683734249,4.06,47.73,0.7631,1.31,0.9684
1111055000,부암동,종로구,1268,2.2732870688484392,21.11,40.54,0.6929,2.44,0.862
1111056000,평창동,종로구,2076,8.940412645356531,10.51,33.18,0.6069,2.96,0.8536
1111057000,무악동,종로구,183,0.36924548226891124,5.42,35.39,0.4577,16.72,0.7432
1111058000,교남동,종로구,598,0.3466671341848279,5.77,33.52,0.513,7.26,0.6689
1111060000,가회동,종로구,865,0.5395998544895816,22.24,37.15,0.4938,2.1,0.8671
1111061500,종로1.2.3.4가동,종로구,884,2.414221382726018,1.24,57.21,0.8283,2.15,0.9864
1111063000,종로5.6가동,종로구,830,0.6027128344364789,8.3,46.11,0.9043,2.03,0.959
1111064000,이화동,종로구,945,0.7818101018487006,14.07,38.65,0.719,3.36,0.7376
1111065000,혜화동,종로구,1778,1.131701742030812,18.56,35.33,0.6646,4.18,0.7013
1111067000,창신제1동,종로구,643,0.30491508136495943,13.12,48.36,0.8035,3.64,0.8305
1111068000,창신제2동,종로구,643,0.2573209611168592,15.54,48.36,0.8035,3.64,0.8305
1111069000,창신제3동,종로구,643,0.21667188789954056,18.46,48.36,0.8035,3.64,0.8305
1111070000,숭인제1동,종로구,654,0.23921531622109796,45.98,45.61,0.7159,4.92,0.7609
1111071000,숭인제2동,종로구,654,0.35164025563519913,31.28,45.61,0.7159,4.92,0.7609
1114052000,소공동,중구,123,0.9430899716163058,0.0,70.67,0.9307,5.65,0.9634
1114054000,회현동,중구,335,0.8971561060294297,7.25,61.33,0.8515,5.44,0.9179
1114055000,명동,중구,552,0.9688762729108646,12.39,58.95,0.8438,3.19,0.9167
1114057000,필동,중구,822,1.463586717338946,6.15,53.54,0.7804,3.76,0.8693
1114058000,장충동,중구,474,1.0170220678307842,6.39,48.79,0.7089,4.04,0.7732
1114059000,광희동,중구,898,0.7366515536173608,5.43,64.59,0.9217,3.47,0.9588
1114060500,을지로동,중구,656,0.6111918104707862,3.27,74.41,0.9838,3.7,0.9909
1114061500,신당동,중구,747,0.5345379291869445,11.22,46.02,0.7483,7.04,0.7593
1114062500,다산동,중구,694,0.5237100984720056,11.46,45.3,0.7362,6.42,0.7467
1114063500,약수동,중구,694,0.48586611604508806,12.35,45.3,0.7362,6.42,0.7467
1114064500,청구동,중구,694,0.34231209591360845,17.53,45.3,0.7362,6.42,0.7467
1114065000,신당제5동,중구,694,0.3193483263890687,18.79,45.3,0.7362,6.42,0.7467
1114066500,동화동,중구,694,0.3267983566222675,18.36,45.3,0.7362,6.42,0.7467
1114067000,황학동,중구,578,0.3283911731698873,9.14,47.3,0.8092,5.79,0.936
1114068000,중림동,중구,498,0.4839301426154696,8.27,45.07,0.719,11.37,0.8012
1117051000,후암동,용산구,1980,0.8652703210984056,45.07,45.2,0.7168,3.47,0.7687
1117052000,용산2가동,용산구,1299,1.970115285422349,6.09,38.02,0.7469,2.66,0.8399
1117053000,남영동,용산구,800,1.1769088909618264,0.85,58.57,0.8841,2.73,0.8825
1117055500,청파동,용산구,2418,0.8855240806155187,66.63,45.91,0.7624,3.49,0.7593
1117056000,원효로제1동,용산구,907,0.5886182572141507,74.75,47.57,0.7336,8.14,0.7707
1117057000,원효로제2동,용산구,733,0.7084486133911987,71.99,44.69,0.7258,7.84,0.6944
1117058000,효창동,용산구,587,0.4458744391186892,96.44,35.01,0.574,7.55,0.5741
1117059000,용문동,용산구,688,0.2773250017997597,90.15,39.06,0.5717,7.15,0.6395
1117062500,한강로동,용산구,977,2.867675943424178,6.63,55.47,0.8806,9.06,0.9222
1117063000,이촌제1동,용산구,157,2.870622471404526,0.17,39.17,0.5669,41.44,0.2898
1117064000,이촌제2동,용산구,157,1.204647598040513,0.42,39.17,0.5669,41.44,0.2898
1117065000,이태원제1동,용산구,1122,0.5824089930307011,42.07,41.81,0.7659,3.24,0.8213
1117066000,이태원제2동,용산구,1122,0.8735334661781103,28.05,41.81,0.7659,3.24,0.8213
1117068500,한남동,용산구,2003,3.0295946526163187,4.62,41.17,0.7566,4.42,0.7549
1117069000,서빙고동,용산구,896,2.815099674507888,2.13,42.68,0.8237,5.33,0.8013
1117070000,보광동,용산구,2201,0.7146556768954624,0.0,44.77,0.9397,2.36,0.8837
1120052000,왕십리제2동,성동구,481,0.37225956652349734,25.52,41.39,0.7208,12.81,0.7245
1120053500,왕십리도선동,성동구,1078,0.7097473508175205,21.84,42.76,0.7665,8.83,0.7667
1120054000,마장동,성동구,1299,1.0341555161986198,11.6,41.91,0.7543,6.14,0.7991
1120055000,사근동,성동구,1059,1.1686605101471408,10.55,41.86,0.7739,7.45,0.7469
1120056000,행당제1동,성동구,377,0.5731304114628734,7.56,39.03,0.6229,13.84,0.6735
1120057000,행당제2동,성동구,377,0.45732216433000555,9.48,39.03,0.6229,13.84,0.6735
1120058000,응봉동,성동구,526,0.5531645804898544,1.81,42.43,0.8038,11.02,0.5817
1120059000,금호1가동,성동구,340,0.44509695590492787,0.0,33.46,0.5385,18.26,0.4882
1120061500,금호2.3가동,성동구,1194,0.6307189491758431,0.0,38.83,0.7738,6.91,0.7487
1120062000,금호4가동,성동구,553,0.8311889085641809,16.84,37.59,0.6982,9.98,0.7884
1120064500,옥수동,성동구,391,1.9207420489014013,0.52,31.97,0.5099,27.35,0.601
1120065000,성수1가제1동,성동구,688,1.8844415421701675,9.29,39.98,0.8021,8.23,0.712
1120066000,성수1가제2동,성동구,688,0.929378438526312,18.83,39.98,0.8021,8.23,0.712
1120067000,성수2가제1동,성동구,718,1.184060923094584,0.84,40.09,0.8259,6.03,0.6938
1120069000,성수2가제3동,성동구,718,1.0536967303295863,0.95,40.09,0.8259,6.03,0.6938
1120072000,송정동,성동구,463,0.6813944691890195,7.34,40.0,0.8182,3.63,0.7257
1120079000,용답동,성동구,1476,2.3753342358422063,30.73,38.1,0.8203,3.91,0.7622
1121571000,화양동,광진구,1547,1.1354224160999127,23.78,35.24,0.7495,5.12,0.6122
1121573000,군자동,광진구,1622,0.7374601628786804,20.34,33.03,0.6687,4.3,0.6363
1121574000,중곡제1동,광진구,1570,0.6140336278144418,55.78,29.8,0.5771,4.73,0.5239
1121575000,중곡제2동,광진구,1570,0.5451230428057884,62.83,29.8,0.5771,4.73,0.5239
1121576000,중곡제3동,광진구,1570,0.6014042892692064,56.95,29.8,0.5771,4.73,0.5239
1121577000,중곡제4동,광진구,1570,2.3116869214269413,14.82,29.8,0.5771,4.73,0.5239
1121578000,능동,광진구,987,1.0912666209278998,28.41,28.71,0.4165,5.15,0.4802
1121581000,광장동,광진구,487,2.391913518422568,5.85,32.36,0.5667,21.8,0.5113
1121582000,자양제1동,광진구,1222,0.5684313696452786,79.61,31.91,0.6538,7.09,0.5443
1121583000,자양제2동,광진구,1222,1.656250524188192,27.32,31.91,0.6538,7.09,0.5443
1121584000,자양제3동,광진구,1222,1.1955033831220763,37.85,31.91,0.6538,7.09,0.5443
1121584700,자양제4동,광진구,1222,1.179145776119927,38.38,31.91,0.6538,7.09,0.5443
1121585000,구의제1동,광진구,1257,0.5945473367860555,68.4,28.98,0.5094,7.67,0.3921
1121586000,구의제2동,광진구,1257,1.3869718775567381,29.32,28.98,0.5094,7.67,0.3921
1121587000,구의제3동,광진구,1257,1.0267703223489635,39.61,28.98,0.5094,7.67,0.3921
1123053600,용신동,동대문구,2235,1.6171722653629337,70.49,41.37,0.736,6.03,0.7969
1123054500,제기동,동대문구,2576,1.1808076471536273,29.64,43.36,0.7595,3.82,0.8094
1123056000,전농제1동,동대문구,1464,1.1258371922958417,13.32,40.85,0.7906,6.5,0.7875
1123057000,전농제2동,동대문구,1464,0.9768211383111722,15.36,40.85,0.7906,6.5,0.7875
1123060000,답십리제1동,동대문구,1066,0.7876412759746796,31.11,38.18,0.7322,10.27,0.7581
1123061000,답십리제2동,동대문구,1066,0.8750762487017265,28.0,38.18,0.7322,10.27,0.7581
1123065000,장안제1동,동대문구,1214,1.3411408763924286,25.35,30.71,0.5977,9.95,0.5379
1123066000,장안제2동,동대문구,1214,0.9958771705655406,34.14,30.71,0.5977,9.95,0.5379
1123070500,청량리동,동대문구,1505,1.2034820441630074,0.83,48.42,0.8599,4.4,0.8618
1123071000,회기동,동대문구,791,0.7663324689248591,24.79,37.46,0.712,5.58,0.6498
1123072000,휘경제1동,동대문구,916,0.5213976534486326,58.5,33.16,0.6433,8.19,0.627
1123073000,휘경제2동,동대문구,916,1.112757608487857,27.41,33.16,0.6433,8.19,0.627
1123074000,이문제1동,동대문구,1440,1.0380095675983532,8.19,41.14,0.8295,5.22,0.7632
1123075000,이문제2동,동대문구,1440,0.7240172669340116,11.74,41.14,0.8295,5.22,0.7632
1126052000,면목제2동,중랑구,1653,0.7625364178128635,52.02,32.91,0.736,5.57,0.5569
1126054000,면목제4동,중랑구,1653,0.8428184055941811,47.06,32.91,0.736,5.57,0.5569
1126055000,면목제5동,중랑구,1653,0.7043952680827219,56.31,32.91,0.736,5.57,0.5569
1126056500,면목본동,중랑구,1653,0.8483657710714066,46.76,32.91,0.736,5.57,0.5569
1126057000,면목제7동,중랑구,1653,1.234523923918471,32.13,32.91,0.736,5.57,0.5569
1126057500,면목제3.8동,중랑구,1653,1.6135312926858563,24.58,32.91,0.736,5.57,0.5569
1126058000,상봉제1동,중랑구,1000,0.8531215173493478,41.03,29.99,0.5987,9.05,0.5215
1126059000,상봉제2동,중랑구,1000,0.6769249753356164,51.7,29.99,0.5987,9.05,0.5215
1126060000,중화제1동,중랑구,1590,0.6414412238193113,89.64,31.52,0.6818,5.57,0.5272
1126061000,중화제2동,중랑구,1590,1.01617609696156,56.58,31.52,0.6818,5.57,0.5272
1126062000,묵제1동,중랑구,1251,1.2374852660329987,27.88,28.14,0.5153,8.2,0.5524
1126063000,묵제2동,중랑구,1251,0.6686907952550871,51.59,28.14,0.5153,8.2,0.5524
1126065500,망우본동,중랑구,1864,2.947959839352839,39.69,31.74,0.685,4.66,0.7479
1126066000,망우제3동,중랑구,1864,0.9618184875693766,121.64,31.74,0.685,4.66,0.7479
1126068000,신내1동,중랑구,448,2.6027794413352594,4.99,26.45,0.5304,24.8,0.5312
1126069000,신내2동,중랑구,448,0.9106086148395861,14.28,26.45,0.5304,24.8,0.5312
1129052500,성북동,성북구,2465,2.877618122369605,18.42,39.68,0.7039,2.54,0.8527
1129055500,삼선동,성북구,2021,0.925528305238122,20.17,37.43,0.6926,5.13,0.7827
