adm_cd,adm_nm,자치구,S_JVWI,구피해,cluster,cluster_label
1154562000,독산제2동,금천구,61.92,775,5,복합위험형
1154564000,독산제4동,금천구,61.55,775,5,복합위험형
1154563000,독산제3동,금천구,59.0,775,5,복합위험형
1154551000,가산동,금천구,56.56,775,5,복합위험형
1154561000,독산제1동,금천구,56.05,775,5,복합위험형
1111070000,숭인제1동,종로구,54.71,34,5,복합위험형
1111071000,숭인제2동,종로구,53.86,34,5,복합위험형
1121573000,군자동,광진구,50.44,134,5,복합위험형
1126066000,망우제3동,중랑구,50.15,283,3,신축집중형
1174062000,천호제3동,강동구,49.4,241,5,복합위험형
1156058500,도림동,영등포구,48.53,498,5,복합위험형
1130562500,수유2동,강북구,48.47,187,5,복합위험형
1150055000,화곡제2동,강서구,48.42,1627,5,복합위험형
1121571000,화양동,광진구,48.34,134,5,복합위험형
1138062500,역촌동,은평구,48.32,417,5,복합위험형
1121575000,중곡제2동,광진구,48.1,134,5,복합위험형
1150056000,화곡제3동,강서구,47.77,1627,5,복합위험형
1123053600,용신동,동대문구,46.97,503,5,복합위험형
1129081000,석관동,성북구,46.92,271,1,다가구밀집형
1150059300,화곡제8동,강서구,46.73,1627,5,복합위험형
1174060000,천호제1동,강동구,46.65,241,5,복합위험형
1130563500,수유3동,강북구,46.46,187,5,복합위험형
1121576000,중곡제3동,광진구,45.67,134,5,복합위험형
1121574000,중곡제1동,광진구,45.34,134,5,복합위험형
1126060000,중화제1동,중랑구,45.14,283,3,신축집중형
1150063000,방화제1동,강서구,44.72,1627,5,복합위험형
1162054500,청림동,관악구,44.67,2292,3,신축집중형
1126056500,면목본동,중랑구,44.4,283,1,다가구밀집형
1150054000,화곡제1동,강서구,43.92,1627,5,복합위험형
1111063000,종로5.6가동,종로구,43.82,34,6,오피스텔밀집형
1153077000,오류제1동,구로구,43.76,527,5,복합위험형
1126052000,면목제2동,중랑구,43.69,283,1,다가구밀집형
1114067000,황학동,중구,43.41,19,5,복합위험형
1120079000,용답동,성동구,43.29,25,6,오피스텔밀집형
1150059000,화곡본동,강서구,43.28,1627,5,복합위험형
1162069500,신림동,관악구,43.2,2292,5,복합위험형
1126059000,상봉제2동,중랑구,43.15,283,5,복합위험형
1156053500,영등포동,영등포구,43.09,498,5,복합위험형
1171053200,거여2동,송파구,42.92,198,3,신축집중형
1126055000,면목제5동,중랑구,42.45,283,1,다가구밀집형
1154570000,시흥제4동,금천구,42.25,775,1,다가구밀집형
1150057000,화곡제4동,강서구,42.13,1627,5,복합위험형
1123066000,장안제2동,동대문구,42.03,503,5,복합위험형
1150061500,우장산동,강서구,41.99,1627,5,복합위험형
1126054000,면목제4동,중랑구,41.7,283,1,다가구밀집형
1126058000,상봉제1동,중랑구,41.65,283,5,복합위험형
1153059500,가리봉동,구로구,41.6,527,3,신축집중형
1162065500,신원동,관악구,41.56,2292,5,복합위험형
1126065500,망우본동,중랑구,41.49,283,1,다가구밀집형
1150059100,화곡제6동,강서구,41.42,1627,5,복합위험형
1162064500,서원동,관악구,41.12,2292,5,복합위험형
1162068500,신사동,관악구,41.07,2292,5,복합위험형
1126061000,중화제2동,중랑구,41.0,283,1,다가구밀집형
1130561500,수유1동,강북구,40.95,187,1,다가구밀집형
1162061500,중앙동,관악구,40.89,2292,3,신축집중형
1132069000,방학제1동,도봉구,40.68,158,5,복합위험형
1154567000,시흥제1동,금천구,40.55,775,1,다가구밀집형
1141058500,신촌동,서대문구,40.52,200,6,오피스텔밀집형
1123065000,장안제1동,동대문구,40.41,503,5,복합위험형
1156067000,신길제5동,영등포구,40.33,498,3,신축집중형
1162072500,조원동,관악구,40.0,2292,5,복합위험형
1130564500,우이동,강북구,39.99,187,1,다가구밀집형
1138057000,대조동,은평구,39.99,417,1,다가구밀집형
1154568000,시흥제2동,금천구,39.93,775,1,다가구밀집형
1130566000,인수동,강북구,39.64,187,1,다가구밀집형
1126057000,면목제7동,중랑구,39.54,283,1,다가구밀집형
1150062000,공항동,강서구,39.53,1627,6,오피스텔밀집형
1153055000,구로제4동,구로구,39.43,527,5,복합위험형
1154571000,시흥제5동,금천구,39.42,775,1,다가구밀집형
1121577000,중곡제4동,광진구,39.3,134,1,다가구밀집형
1138059000,응암제2동,은평구,39.25,417,3,신축집중형
1132070000,방학제2동,도봉구,39.07,158,1,다가구밀집형
1150052000,등촌제1동,강서구,38.83,1627,5,복합위험형
1154569000,시흥제3동,금천구,38.78,775,1,다가구밀집형
1171053100,거여1동,송파구,38.76,198,3,신축집중형
1144061000,염리동,마포구,38.76,164,3,신축집중형
1129062000,정릉제1동,성북구,38.71,271,3,신축집중형
1121585000,구의제1동,광진구,38.68,134,3,신축집중형
1123072000,휘경제1동,동대문구,38.61,503,0,고밀주거형
1138060000,응암제3동,은평구,38.48,417,3,신축집중형
1126057500,면목제3.8동,중랑구,38.48,283,1,다가구밀집형
1174061000,천호제2동,강동구,38.12,241,1,다가구밀집형
1162056500,성현동,관악구,38.01,2292,0,고밀주거형
1162077500,난곡동,관악구,37.97,2292,1,다가구밀집형
1162066500,서림동,관악구,37.87,2292,1,다가구밀집형
