adm_cd,adm_nm,youth_ratio,gongsi_per_m2
1111051500,청운효자동,0.2560599382988101,4698870
1111053000,사직동,0.2737355811889973,7169778
1111054000,삼청동,0.2315227070347284,6807582
1111055000,부암동,0.2510684931506849,2122815
1111056000,평창동,0.23537180591444157,2401689
1111057000,무악동,0.20826032540675846,2657259
1111058000,교남동,0.2631199092689968,3462447
1111060000,가회동,0.23642007242628038,5482398
1111061500,종로1.2.3.4가동,0.2871434970882485,10809000
1111063000,종로5.6가동,0.385470719051149,7081139
1111064000,이화동,0.39532534987736256,4251218
1111065000,혜화동,0.3968842263961304,4812495
1111067000,창신1동,0.2508265373594886,4287689
1111068000,창신2동,0.24601487778958556,4287689
1111069000,창신3동,0.2739532695624902,4287689
1111070000,숭인1동,0.26221837088388217,4345251
1111071000,숭인2동,0.4266078572161247,4345251
1114052000,소공동,0.3082223242994947,11728712
1114054000,회현동,0.2152476603515179,9220625
1114055000,명동,0.2613506295307135,9203335
1114057000,필동,0.3595702148925537,6599645
1114058000,장충동,0.42408376963350786,5132328
1114059000,광희동,0.42429516185172295,9390666
1114060500,을지로동,0.42535305985205113,12046464
1114061500,신당동,0.35058475601559347,5050673
1114062500,다산동,0.32107677268967594,4891229
1114063500,약수동,0.252241112828439,4891229
1114064500,청구동,0.2894211576846307,4891229
1114065000,신당5동,0.3215663008009493,4891229
1114066500,동화동,0.24354465990153723,4891229
1114067000,황학동,0.4050473186119874,6710200
1114068000,중림동,0.28120362737015664,5435256
1117051000,후암동,0.309449506927974,4960219
1117052000,용산2가동,0.33109544589907125,4802104
1117053000,남영동,0.26060251535536705,8929744
1117055500,청파동,0.39269358319734693,5429941
1117056000,원효로1동,0.41452991452991456,6807571
1117057000,원효로2동,0.3091362369848951,5427238
1117058000,효창동,0.33687844015299934,5210221
1117059000,용문동,0.3142757234023953,6578142
1117062500,한강로동,0.382277761999432,10451693
1117063000,이촌1동,0.21973668414102204,7500415
1117064000,이촌2동,0.2653267602073063,7500415
1117065000,이태원1동,0.33405208160557304,7414939
1117066000,이태원2동,0.33155390507137056,7414939
1117068500,한남동,0.29614220877458397,8169746
1117069000,서빙고동,0.2418940609951846,5848795
1117070000,보광동,0.29739346297062474,7810175
1120052000,왕십리2동,0.3103213423317442,4326044
1120053500,왕십리도선동,0.3241856398950929,5063085
1120054000,마장동,0.3356882301334442,4162845
1120055000,사근동,0.5450532978014657,4564152
1120056000,행당1동,0.3211939862793753,5209634
1120057000,행당2동,0.26320384111741596,5209634
1120058000,응봉동,0.2475650433622415,2532597
1120059000,금호1가동,0.26030632211051885,3356781
1120061500,금호2.3가동,0.285792349726776,4575988
1120062000,금호4가동,0.258151023288638,4528730
1120064500,옥수동,0.27514769594328475,3584533
1120065000,성수1가1동,0.3268261150614092,6937485
1120066000,성수1가2동,0.3403581840899625,6937485
1120067000,성수2가1동,0.29452007935964974,7351643
1120069000,성수2가3동,0.3469650460441628,7351643
1120072000,송정동,0.30659025787965616,3384179
1120079000,용답동,0.3902032655781406,3929794
1121571000,화양동,0.6471821644058368,5873986
1121573000,군자동,0.40588941680154544,4331342
1121574000,중곡1동,0.38392506222979167,3755020
1121575000,중곡2동,0.3403862952538096,3755020
1121576000,중곡3동,0.32301446333417916,3755020
1121577000,중곡4동,0.2904453059893474,3755020
1121578000,능동,0.4241115609536662,4510439
1121581000,광장동,0.2112432115074123,3311050
1121582000,자양1동,0.35245227874691754,5170012
1121583000,자양2동,0.29142374313476976,5170012
1121584000,자양3동,0.26922230374174616,5170012
1121584700,자양4동,0.3328964613368283,5170012
1121585000,구의1동,0.40386440093159665,4671496
1121586000,구의2동,0.27008720024914357,4671496
1121587000,구의3동,0.30919941043246935,4671496
1123053600,용신동,0.3661982825917252,4431616
1123054500,제기동,0.31917460043940893,3683215
1123056000,전농1동,0.290271834885477,3888238
1123057000,전농2동,0.22872517474758683,3888238
1123060000,답십리1동,0.3112855811285581,3710237
1123061000,답십리2동,0.26923216686652857,3710237
1123065000,장안1동,0.2900618798677051,4122950
1123066000,장안2동,0.25857835614756614,4122950
1123070500,청량리동,0.23376138967336282,4014870
1123071000,회기동,0.472041363462275,4170381
1123072000,휘경1동,0.42017173628292825,3570769
1123073000,휘경2동,0.36714638157894736,3570769
1123074000,이문1동,0.4049285914309717,3768316
1123075000,이문2동,0.2574924176219606,3768316
1126052000,면목2동,0.2678398109465333,3229080
1126054000,면목4동,0.25763808896933793,3229080
1126055000,면목5동,0.27377284863421647,3229080
1126056500,면목본동,0.30901013297629554,3229080
1126057000,면목7동,0.28234850626708136,3229080
1126057500,면목3.8동,0.2830850846765966,3229080
1126058000,상봉1동,0.2734902939783928,3781160
1126059000,상봉2동,0.4361717791411043,3781160
1126060000,중화1동,0.28414225718994207,3117784
1126061000,중화2동,0.2891803553469661,3117784
1126062000,묵1동,0.27477183833116037,3301822
1126063000,묵2동,0.2819186973980967,3301822
1126065500,망우본동,0.28911209547724515,2802965
1126066000,망우3동,0.2536319228573241,2802965
1126068000,신내1동,0.2328039545645772,1652801
1126069000,신내2동,0.24605137003582783,1652801
1129052500,성북동,0.3167157261852571,3282531
1129055500,삼선동,0.3268079744385941,3685212
1129057500,동선동,0.4699195639167719,4161112
1129058000,돈암1동,0.26089694255929474,2358555
1129059000,돈암2동,0.2317796068062604,2358555
1129060000,안암동,0.5034367701034368,4348169
1129061000,보문동,0.3389234848017757,4503867
1129062000,정릉1동,0.2565800549974746,2643144
1129063000,정릉2동,0.26695290368271957,2368011
1129064000,정릉3동,0.34560831058134117,2369351
1129065000,정릉4동,0.24722406363937685,2369351
1129066000,길음1동,0.20504360798714713,4645065
1129068500,길음2동,0.2475293036083659,3953780
1129070500,종암동,0.26636503148647933,2996943
1129071500,월곡1동,0.2355396076290027,3706662
1129072500,월곡2동,0.31958274063537223,3528465
1129076000,장위1동,0.2651023890784983,3128644
1129077000,장위2동,0.26998788612961844,3128644
1129078000,장위3동,0.2710862722425644,3128644
1129081000,석관동,0.2729497803072749,2752152
1130553400,삼양동,0.24265326990619304,3188860
1130553500,미아동,0.29948874767069616,3188860
1130554500,송중동,0.2645624303232999,3188860
1130555500,송천동,0.23966709552910903,3188860
1130557500,삼각산동,0.21174052078574693,3188860
1130559500,번1동,0.309572186477029,2541640
1130560300,번2동,0.2313778075762655,2541640
1130560800,번3동,0.20357818892349025,2541640
1130561500,수유1동,0.2751677852348993,2490684
1130562500,수유2동,0.24192766411325511,2490684
1130563500,수유3동,0.3301506011023827,2490684
1130564500,우이동,0.2372455390801709,2395735
1130566000,인수동,0.23884892086330936,2490684
1132051100,창1동,0.2553862758935614,2879129
1132051200,창2동,0.267562203161551,2879129
1132051300,창3동,0.22814691907383663,2879129
1132051400,창4동,0.25497107390521434,2879129
1132051500,창5동,0.2767051153460381,2879129
1132052100,도봉1동,0.21117240693802494,2189108
1132052200,도봉2동,0.23219718852301174,2189108
1132066000,쌍문1동,0.24991537308380482,2383186
1132067000,쌍문2동,0.250877486210931,2383186
1132068000,쌍문3동,0.289038356662425,2383186
1132068100,쌍문4동,0.23966440359882982,2383186
1132069000,방학1동,0.2363931469792606,2526534
1132070000,방학2동,0.22258566142956726,2526534
1132071000,방학3동,0.2155057124297887,2526534
1135056000,월계1동,0.29079183435969547,2266369
1135057000,월계2동,0.21890877823809896,2266369
1135058000,월계3동,0.2580835825046937,2266369
1135059500,공릉1동,0.32077356344163593,2816411
1135060000,공릉2동,0.29783046942497843,2816411
1135061100,하계1동,0.2746149458071877,2260833
1135061200,하계2동,0.2367027508318103,2260833
1135061900,중계본동,0.1979288530698904,2435837
1135062100,중계1동,0.17741017566490874,2435837
1135062400,중계4동,0.2139614963218031,2973244
1135062500,중계2.3동,0.23106665030072418,2435837
1135063000,상계1동,0.24381806880523202,3106377
1135064000,상계2동,0.2636382601439449,3106377
1135066500,상계3.4동,0.2192484159930085,3106377
1135067000,상계5동,0.23855755894590847,3106377
1135069500,상계6.7동,0.2765511325729898,3106377
1135070000,상계8동,0.324627887864122,3106377
1135071000,상계9동,0.2567189960879947,3106377
1135072000,상계10동,0.2828454172366621,3106377
1138051000,녹번동,0.2826201211584742,3247717
1138052000,불광1동,0.2652653452685422,3350721
1138053000,불광2동,0.28486613644001346,3350721
1138055100,갈현1동,0.2861939020212402,3369411
1138055200,갈현2동,0.27335439131539774,3369411
1138056000,구산동,0.25595559080095165,2855122
1138057000,대조동,0.36294453387970144,4547166
1138058000,응암1동,0.2896838755087676,3383731
1138059000,응암2동,0.24413505810129357,3383731
1138060000,응암3동,0.27976013269255307,3383731
1138062500,역촌동,0.2710263355564155,3482662
1138063100,신사1동,0.2796335394359825,3011048
1138063200,신사2동,0.26753438372767036,3011048
1138064000,증산동,0.2736193643351687,3215428
1138065000,수색동,0.2989721734770619,3767397
1138069000,진관동,0.23547799863928065,1533080
1141052000,천연동,0.2557761732851986,3405222
1141055500,북아현동,0.304316872694324,6274899
1141056500,충현동,0.32294948673645696,5088070
1141058500,신촌동,0.602387150645906,6372396
1141061500,연희동,0.3825900841469493,3095117
1141062000,홍제1동,0.27065998869052427,3143404
1141064000,홍제3동,0.2635645798082346,3143404
1141065500,홍제2동,0.2597363236854069,3143404
1141066000,홍은1동,0.25333093266114515,2517944
1141068500,홍은2동,0.28570929297871595,2517944
1141069000,남가좌1동,0.2288947431445336,3987835
1141070000,남가좌2동,0.2818244170096022,3987835
1141071000,북가좌1동,0.22681291202546033,3472432
1141072000,북가좌2동,0.2740167214288038,3472432
1144055500,아현동,0.3129075229615088,6494566
1144056500,공덕동,0.3363765580581675,6613651
1144058500,도화동,0.2978413776376425,6955798
1144059000,용강동,0.25538519424325085,6489956
1144060000,대흥동,0.4250120781282352,6398630
1144061000,염리동,0.30426517761672806,6240547
1144063000,신수동,0.30105291698675946,5610099
1144065500,서강동,0.35808251537490327,6224173
1144066000,서교동,0.4700510564111079,9484880
1144068000,합정동,0.4027574426549536,6475103
1144069000,망원1동,0.3493762071305528,5778314
1144070000,망원2동,0.30082249638768477,5778314
1144071000,연남동,0.4082189862783534,6764541
1144072000,성산1동,0.3387348586810229,4468475
1144073000,성산2동,0.344501186423192,4335235
1144074000,상암동,0.2611799568965517,3197588
1147051000,목1동,0.19027016315476583,4168863
1147052000,목2동,0.3267937799537979,4168863
1147053000,목3동,0.3247509866566435,4168863
1147054000,목4동,0.26273261508325174,4168863
1147055000,목5동,0.18348533641436612,4168863
1147056000,신월1동,0.2450754668713226,2725120
1147057000,신월2동,0.24935202073533647,2725120
1147058000,신월3동,0.25100764419735927,2725120
1147059000,신월4동,0.2302804808242702,2725120
1147060000,신월5동,0.2676136363636364,2725120
1147061000,신월6동,0.2645217015763334,2725120
1147061100,신월7동,0.2490622655663916,2725120
1147062000,신정1동,0.1966124042801359,3884898
1147063000,신정2동,0.19789016115351993,3884898
1147064000,신정3동,0.24174101760308656,3884898
1147065000,신정4동,0.3095297727130424,3884898
1147067000,신정6동,0.21368306741291454,3884898
1147068000,신정7동,0.20845974740704157,3884898
1150051000,염창동,0.305899419729207,3875957
1150052000,등촌1동,0.45704770693736707,4412693
1150053000,등촌2동,0.311740473738414,4412693
1150053500,등촌3동,0.2679346352047735,4412693
1150054000,화곡1동,0.3816747572815534,3649314
1150055000,화곡2동,0.29228166384691673,3649314
1150056000,화곡3동,0.29047664081709856,3649314
1150057000,화곡4동,0.2763788666296614,3649314
1150059000,화곡본동,0.3541073914885889,3649314
1150059100,화곡6동,0.35478806907378335,3649314
1150059300,화곡8동,0.3138187221396731,3649314
1150060300,가양1동,0.49485536218250237,3017095
1150060400,가양2동,0.2626120453366916,3849097
1150060500,가양3동,0.29479239971850807,3849097
1150061100,발산1동,0.22614049818080045,2775747
1150061500,우장산동,0.24048320431138817,3641231
1150062000,공항동,0.2916821200984524,2481075
1150063000,방화1동,0.24791291148847358,2889424
1150064000,방화2동,0.30141328754457797,2201593
1150064100,방화3동,0.24415019045891528,2870917
1153051000,신도림동,0.27797602453303594,3346402
1153052000,구로1동,0.29025197003599573,3285041
1153053000,구로2동,0.24720447284345048,3285041
1153054000,구로3동,0.38853639715339106,3285041
1153055000,구로4동,0.28358367955683395,3285041
1153056000,구로5동,0.36230642729888995,3285041
1153059500,가리봉동,0.3491232065588704,3487281
1153072000,고척1동,0.3190503323836657,2872799
1153073000,고척2동,0.2382587890248138,2872799
1153074000,개봉1동,0.2711400102351064,2931131
1153075000,개봉2동,0.24319801880793815,2931131
1153076000,개봉3동,0.2374644742184328,2931131
1153077000,오류1동,0.3820595086362238,2750477
1153078000,오류2동,0.2345112681690892,2641567
1153079000,수궁동,0.24587212366063588,1947427
1154551000,가산동,0.5467643368812983,3187423
1154561000,독산1동,0.3960105981948603,3092458
1154562000,독산2동,0.2752180720196824,3092458
1154563000,독산3동,0.3130998484593366,3092458
1154564000,독산4동,0.273155737704918,3092458
1154567000,시흥1동,0.286228734633056,2907949
1154568000,시흥2동,0.21086122310195754,2907949
1154569000,시흥3동,0.24361971556594583,2907949
1154570000,시흥4동,0.24283158701763352,2907949
1154571000,시흥5동,0.23376480912681,2907949
1156051500,영등포본동,0.2892822966507177,3701041
1156053500,영등포동,0.5430357376619976,6837604
1156054000,여의동,0.2530546818291798,10865080
1156055000,당산1동,0.4087511307908394,5476465
1156056000,당산2동,0.4074084154373741,4421227
1156058500,도림동,0.3287266109310129,3008021
