adm_cd,adm_nm,자치구,전세가율,고전세가율비율,villa_total,newvilla_count,newvilla_ratio,area_km2,newvilla_density
1111051500,청운효자동,종로구,71.08,23.7,375,10,0.0267,2.5686,3.89
1111053000,사직동,종로구,60.02,14.3,82,1,0.0122,1.1577,0.86
1111054000,삼청동,종로구,6.41,0.0,12,0,0.0,1.4772,0.0
1111055000,부암동,종로구,75.94,31.9,248,5,0.0202,2.2733,2.2
1111056000,평창동,종로구,65.6,16.0,460,19,0.0413,8.9404,2.13
1111057000,무악동,종로구,44.3,0.0,42,0,0.0,0.3692,0.0
1111058000,교남동,종로구,48.16,5.1,273,0,0.0,0.3467,0.0
1111060000,가회동,종로구,76.09,30.6,132,0,0.0,0.5396,0.0
1111061500,종로1.2.3.4가동,종로구,92.14,85.7,20,0,0.0,2.4142,0.0
1111063000,종로5.6가동,종로구,89.5,90.5,15,2,0.1333,0.6027,3.32
1111064000,이화동,종로구,76.97,40.8,233,5,0.0215,0.7818,6.4
1111065000,혜화동,종로구,76.22,32.1,377,14,0.0371,1.1317,12.37
1111067000,창신제1동,종로구,48.88,12.3,272,2,0.0074,0.3049,6.56
1111068000,창신제2동,종로구,48.88,12.3,272,2,0.0074,0.2573,7.77
1111069000,창신제3동,종로구,48.88,12.3,272,2,0.0074,0.2167,9.23
1111070000,숭인제1동,종로구,71.71,23.0,229,12,0.0524,0.2392,50.17
1111071000,숭인제2동,종로구,71.71,23.0,229,12,0.0524,0.3516,34.13
1114054000,회현동,중구,82.36,70.2,27,3,0.1111,0.8972,3.34
1114055000,명동,중구,83.63,60.0,42,7,0.1667,0.9689,7.22
1114057000,필동,중구,74.17,23.9,181,8,0.0442,1.4636,5.47
1114058000,장충동,중구,67.52,11.7,180,4,0.0222,1.017,3.93
1114059000,광희동,중구,59.35,21.1,27,1,0.037,0.7367,1.36
1114060500,을지로동,중구,,,13,0,0.0,0.6112,0.0
1114061500,신당동,중구,59.4,17.1,729,15,0.0206,0.5345,28.06
1114062500,다산동,중구,59.4,17.1,726,15,0.0207,0.5237,28.64
1114063500,약수동,중구,59.4,17.1,726,15,0.0207,0.4859,30.87
1114064500,청구동,중구,59.4,17.1,726,15,0.0207,0.3423,43.82
1114065000,신당제5동,중구,59.4,17.1,726,15,0.0207,0.3193,46.98
1114066500,동화동,중구,59.4,17.1,726,15,0.0207,0.3268,45.9
1114067000,황학동,중구,94.34,73.7,13,0,0.0,0.3284,0.0
1114068000,중림동,중구,72.38,39.4,104,1,0.0096,0.4839,2.07
1117051000,후암동,용산구,43.05,1.2,431,19,0.0441,0.8653,21.96
1117052000,용산2가동,용산구,35.11,0.9,329,7,0.0213,1.9701,3.55
1117053000,남영동,용산구,21.24,0.0,76,0,0.0,1.1769,0.0
1117055500,청파동,용산구,41.33,0.5,518,42,0.0811,0.8855,47.43
1117056000,원효로제1동,용산구,36.45,0.4,131,27,0.2061,0.5886,45.87
1117057000,원효로제2동,용산구,34.6,0.0,141,43,0.305,0.7084,60.7
1117058000,효창동,용산구,44.81,3.0,207,31,0.1498,0.4459,69.52
1117059000,용문동,용산구,47.47,0.5,183,16,0.0874,0.2773,57.7
1117062500,한강로동,용산구,44.64,0.0,79,14,0.1772,2.8677,4.88
1117063000,이촌제1동,용산구,18.73,0.0,130,0,0.0,2.8706,0.0
1117064000,이촌제2동,용산구,18.73,0.0,130,0,0.0,1.2046,0.0
1117065000,이태원제1동,용산구,38.73,0.8,320,26,0.0812,0.5824,44.64
1117066000,이태원제2동,용산구,38.73,0.8,320,26,0.0812,0.8735,29.77
1117068500,한남동,용산구,56.31,10.7,486,8,0.0165,3.0296,2.64
1117069000,서빙고동,용산구,18.37,0.0,217,4,0.0184,2.8151,1.42
1117070000,보광동,용산구,6.48,0.0,164,0,0.0,0.7147,0.0
1120052000,왕십리제2동,성동구,63.68,5.6,108,10,0.0926,0.3723,26.86
1120053500,왕십리도선동,성동구,66.57,21.0,141,11,0.078,0.7097,15.5
1120054000,마장동,성동구,65.42,34.6,95,6,0.0632,1.0342,5.8
1120055000,사근동,성동구,58.14,18.7,267,7,0.0262,1.1687,5.99
1120056000,행당제1동,성동구,57.05,21.7,203,3,0.0148,0.5731,5.23
1120057000,행당제2동,성동구,57.05,21.7,203,3,0.0148,0.4573,6.56
1120058000,응봉동,성동구,31.95,4.1,240,0,0.0,0.5532,0.0
1120059000,금호1가동,성동구,41.02,2.8,179,0,0.0,0.4451,0.0
1120061500,금호2.3가동,성동구,29.4,2.4,263,0,0.0,0.6307,0.0
1120062000,금호4가동,성동구,28.11,0.0,103,11,0.1068,0.8312,13.23
1120064500,옥수동,성동구,55.11,14.8,103,1,0.0097,1.9207,0.52
