adm_cd,adm_nm,자치구,전세가율,고전세가율비율,villa_total,newvilla_count,newvilla_ratio,area_km2,newvilla_density,youth_ratio,gongsi_per_m2,jeonse_per_m2_won,공시지가대비전세가괴리,cx,cy,norm_전세가율,norm_고전세가율비율,norm_newvilla_density,norm_공시지가대비전세가괴리,norm_youth_ratio,kde_고전세가율비율,kde_newvilla_density
1111051500,청운효자동,종로구,71.08,23.7,375.0,10.0,0.0267,2.5686,3.89,0.2560599382988101,4698870.0,5415742.905557829,1.1526,953198.5084084043,1954023.584037036,0.5886,0.2619,0.0151,0.1354,0.2043,20.639,3.6979
1111053000,사직동,종로구,60.02,14.3,82.0,1.0,0.0122,1.1577,0.86,0.2737355811889973,7169778.0,5273400.671669584,0.7355,953232.513802939,1952855.55140933,0.4879,0.158,0.0033,0.0566,0.2389,11.4139,0.8851
1111054000,삼청동,종로구,6.41,0.0,12.0,0.0,0.0,1.4772,0.0,0.2315227070347284,6807582.0,3587442.027668361,0.527,954197.6577713855,1954456.1769762104,0.0,0.0,0.0,0.0173,0.1564,8.3401,0.4606
1111055000,부암동,종로구,75.94,31.9,248.0,5.0,0.0202,2.2733,2.2,0.2510684931506849,2122815.0,4844922.263277127,2.2823,952643.859959763,1955418.8193742128,0.6328,0.3525,0.0085,0.3487,0.1946,30.4789,4.6961
1111056000,평창동,종로구,65.6,16.0,460.0,19.0,0.0413,8.9404,2.13,0.2353718059144415,2401689.0,4894499.00114071,2.0379,953060.0387475733,1957493.9746140041,0.5387,0.1768,0.0083,0.3025,0.1639,16.0025,2.1303
1111057000,무악동,종로구,44.3,0.0,42.0,0.0,0.0,0.3692,0.0,0.2082603254067584,2657259.0,3595047.4387188638,1.3529,952193.4441701373,1953218.986564502,0.3449,0.0,0.0,0.1732,0.1109,3.7742,5.7068
1111058000,교남동,종로구,48.16,5.1,273.0,0.0,0.0,0.3467,0.0,0.2631199092689968,3462447.0,3795979.789519864,1.0963,952678.1168268375,1952545.4461571388,0.38,0.0564,0.0,0.1247,0.2181,6.4644,2.6445
1111060000,가회동,종로구,76.09,30.6,132.0,0.0,0.0,0.5396,0.0,0.2364200724262803,5482398.0,5106619.3257044405,0.9315,954665.692638093,1953804.629356037,0.6342,0.3381,0.0,0.0936,0.166,33.0881,0.7508
1111061500,종로1.2.3.4가동,종로구,92.14,85.7,20.0,0.0,0.0,2.4142,0.0,0.2871434970882485,10809000.0,14735607.780775338,1.3633,954954.1969305095,1952989.8972214248,0.7803,0.947,0.0,0.1752,0.2651,73.6388,0.5304
1111063000,종로5.6가동,종로구,89.5,90.5,15.0,2.0,0.1333,0.6027,3.32,0.385470719051149,7081139.0,9140719.459421923,1.2909,956236.244591107,1952724.8248995196,0.7563,1.0,0.0129,0.1615,0.4572,48.5535,6.8722
1111064000,이화동,종로구,76.97,40.8,233.0,5.0,0.0215,0.7818,6.4,0.3953253498773625,4251218.0,4214783.572495627,0.9914,956118.7233496164,1953486.8405722321,0.6422,0.4508,0.0249,0.1049,0.4764,39.6273,7.7598
1111065000,혜화동,종로구,76.22,32.1,377.0,14.0,0.0371,1.1317,12.37,0.3968842263961304,4812495.0,5613727.850672135,1.1665,955629.507058731,1954349.3298030333,0.6354,0.3547,0.0481,0.138,0.4795,31.117,10.1104
1111067000,창신제1동,종로구,48.88,12.3,272.0,2.0,0.0074,0.3049,6.56,0.2508265373594886,4287689.0,4499038.380769149,1.0493,957066.4374944445,1952666.3013785733,0.3865,0.1359,0.0255,0.1159,0.1941,25.5388,17.5963
1111068000,창신제2동,종로구,48.88,12.3,272.0,2.0,0.0074,0.2573,7.77,0.2460148777895855,4287689.0,4499038.380769149,1.0493,956749.3191338186,1953073.7821248993,0.3865,0.1359,0.0302,0.1159,0.1847,26.4387,14.4298
1111069000,창신제3동,종로구,48.88,12.3,272.0,2.0,0.0074,0.2167,9.23,0.2739532695624902,4287689.0,4499038.380769149,1.0493,957018.8670439502,1953397.0956271018,0.3865,0.1359,0.0359,0.1159,0.2393,20.2533,20.5506
1111070000,숭인제1동,종로구,71.71,23.0,229.0,12.0,0.0524,0.2392,50.17,0.2622183708838821,4345251.0,5119360.513634267,1.1782,957341.8211199162,1953198.931621191,0.5943,0.2541,0.1949,0.1402,0.2164,20.2236,25.5752
1111071000,숭인제2동,종로구,71.71,23.0,229.0,12.0,0.0524,0.3516,34.13,0.4266078572161247,4345251.0,5119360.513634267,1.1782,957645.0643169887,1952898.6339979153,0.5943,0.2541,0.1326,0.1402,0.5375,25.3935,26.1588
1114054000,회현동,중구,82.36,70.2,27.0,3.0,0.1111,0.8972,3.34,0.2152476603515179,9220625.0,10536434.990515092,1.1427,953815.9461589294,1950972.0175258524,0.6913,0.7757,0.013,0.1335,0.1246,53.5993,7.1201
