adm_cd,adm_nm,자치구,rent_n,villa_share,apt_share,officetel_share,dagagu_count
1111051500,청운효자동,종로구,520,0.9538,0.0462,0.0,173
1111053000,사직동,종로구,998,0.1323,0.3216,0.5461,56
1111054000,삼청동,종로구,12,1.0,0.0,0.0,63
1111055000,부암동,종로구,458,0.8188,0.0524,0.1288,96
1111056000,평창동,종로구,541,0.7505,0.2403,0.0092,140
1111057000,무악동,종로구,514,0.0272,0.9728,0.0,2
1111058000,교남동,종로구,1517,0.1826,0.7713,0.0461,103
1111060000,가회동,종로구,170,1.0,0.0,0.0,71
1111061500,종로1.2.3.4가동,종로구,642,0.0467,0.3115,0.6417,14
1111063000,종로5.6가동,종로구,1166,0.0515,0.301,0.6475,104
1111064000,이화동,종로구,659,0.8452,0.0941,0.0607,147
1111065000,혜화동,종로구,1406,0.8243,0.143,0.0327,508
1111067000,창신제1동,종로구,1150,0.3687,0.5443,0.087,114
1111068000,창신제2동,종로구,1150,0.3687,0.5443,0.087,114
1111069000,창신제3동,종로구,1150,0.3687,0.5443,0.087,114
1111070000,숭인제1동,종로구,3036,0.1173,0.276,0.6067,104
1111071000,숭인제2동,종로구,3036,0.1173,0.276,0.6067,104
1114052000,소공동,중구,510,0.0,0.6588,0.3412,2
1114054000,회현동,중구,693,0.2828,0.5916,0.1255,13
1114055000,명동,중구,654,0.419,0.2783,0.3028,44
1114057000,필동,중구,1686,0.4953,0.3161,0.1886,50
1114058000,장충동,중구,1104,0.7246,0.2237,0.0516,22
1114059000,광희동,중구,1564,0.0396,0.6324,0.328,57
1114060500,을지로동,중구,708,0.0,0.6723,0.3277,0
1114061500,신당동,중구,6047,0.3182,0.5399,0.1419,136
1114062500,다산동,중구,5529,0.3456,0.5502,0.1042,134
1114063500,약수동,중구,5529,0.3456,0.5502,0.1042,134
1114064500,청구동,중구,5529,0.3456,0.5502,0.1042,134
1114065000,신당제5동,중구,5529,0.3456,0.5502,0.1042,134
1114066500,동화동,중구,5529,0.3456,0.5502,0.1042,134
1114067000,황학동,중구,3417,0.0664,0.309,0.6245,23
1114068000,중림동,중구,1941,0.0778,0.6023,0.3199,19
1117051000,후암동,용산구,1723,0.8799,0.0929,0.0273,329
