adm_cd,adm_nm,자치구,전세가율,고전세가율비율,거래건수
1154551000,가산동,금천구,116.28,78.9,247
1114067000,황학동,중구,94.34,73.7,95
1156056000,당산제2동,영등포구,92.58,62.2,275
1111061500,종로1.2.3.4가동,종로구,92.14,85.7,7
1150051000,염창동,강서구,90.85,65.4,251
1129060000,안암동,성북구,90.74,49.1,59
1111063000,종로5.6가동,종로구,89.5,90.5,21
1150060400,가양제2동,강서구,89.36,61.7,107
1150060500,가양제3동,강서구,89.36,61.7,107
1135061100,하계1동,노원구,88.36,43.3,60
1135061200,하계2동,노원구,88.36,43.3,60
1162063000,남현동,관악구,87.58,50.0,230
1121571000,화양동,광진구,87.21,51.8,222
1126058000,상봉제1동,중랑구,85.45,55.2,772
1126059000,상봉제2동,중랑구,85.45,55.2,772
1135061900,중계본동,노원구,85.4,52.4,124
1135062100,중계1동,노원구,85.4,52.4,124
1135062500,중계2.3동,노원구,85.4,52.4,124
1156061000,양평제1동,영등포구,84.95,55.9,68
1156062000,양평제2동,영등포구,84.92,58.9,407
1121573000,군자동,광진구,84.91,46.7,330
1150061500,우장산동,강서구,84.58,41.8,4718
1156055000,당산제1동,영등포구,84.42,56.6,198
1150059000,화곡본동,강서구,84.11,41.7,4364
1150056000,화곡제3동,강서구,84.11,41.7,4364
1150059300,화곡제8동,강서구,84.11,41.7,4364
1150054000,화곡제1동,강서구,84.11,41.7,4364
1150057000,화곡제4동,강서구,84.11,41.7,4364
1150059100,화곡제6동,강서구,84.11,41.7,4364
1150055000,화곡제2동,강서구,84.11,41.7,4364
1114055000,명동,중구,83.63,60.0,160
1162058500,낙성대동,관악구,83.6,45.0,1355
1162052500,보라매동,관악구,83.6,45.0,1355
1162060500,은천동,관악구,83.6,45.0,1355
1162061500,중앙동,관악구,83.6,45.0,1355
1162062500,인헌동,관악구,83.6,45.0,1355
1162057500,행운동,관악구,83.6,45.0,1355
1162056500,성현동,관악구,83.6,45.0,1355
1162054500,청림동,관악구,83.6,45.0,1355
1162059500,청룡동,관악구,83.6,45.0,1355
1150052000,등촌제1동,강서구,83.36,39.4,843
1150053000,등촌제2동,강서구,83.36,39.4,843
1150053500,등촌제3동,강서구,83.36,39.4,843
1154561000,독산제1동,금천구,82.85,46.1,986
1154562000,독산제2동,금천구,82.85,46.1,986
1154564000,독산제4동,금천구,82.85,46.1,986
1154563000,독산제3동,금천구,82.85,46.1,986
1114054000,회현동,중구,82.36,70.2,121
1129071500,월곡제1동,성북구,81.89,28.0,118
1150061100,발산제1동,강서구,81.76,38.4,539
1165066000,내곡동,서초구,81.35,47.8,23
1153076000,개봉제3동,구로구,80.89,41.1,906
1153075000,개봉제2동,구로구,80.89,41.1,906
1153074000,개봉제1동,구로구,80.89,41.1,906
1123071000,회기동,동대문구,80.68,28.3,60
1135058000,월계3동,노원구,79.63,32.9,228
1135057000,월계2동,노원구,79.63,32.9,228
1135056000,월계1동,노원구,79.63,32.9,228
1156060500,문래동,영등포구,79.32,58.3,24
1156053500,영등포동,영등포구,78.68,49.1,436
1123054500,제기동,동대문구,78.64,42.8,285
1138062500,역촌동,은평구,78.64,37.6,686
1129072500,월곡제2동,성북구,77.97,23.0,174
1129081000,석관동,성북구,77.87,39.9,552
1141068500,홍은제2동,서대문구,77.55,37.5,451
1141066000,홍은제1동,서대문구,77.55,37.5,451
1162069500,신림동,관악구,77.35,38.3,1590
1162068500,신사동,관악구,77.35,38.3,1590
1162076500,미성동,관악구,77.35,38.3,1590
1162073500,대학동,관악구,77.35,38.3,1590
1162066500,서림동,관악구,77.35,38.3,1590
1162065500,신원동,관악구,77.35,38.3,1590
1162064500,서원동,관악구,77.35,38.3,1590
1162077500,난곡동,관악구,77.35,38.3,1590
1162072500,조원동,관악구,77.35,38.3,1590
1162074500,삼성동,관악구,77.35,38.3,1590
1162071500,난향동,관악구,77.35,38.3,1590
1111064000,이화동,종로구,76.97,40.8,125
1121577000,중곡제4동,광진구,76.53,34.1,1618
1121574000,중곡제1동,광진구,76.53,34.1,1618
1121575000,중곡제2동,광진구,76.53,34.1,1618
1121576000,중곡제3동,광진구,76.53,34.1,1618
1174059000,암사제3동,강동구,76.34,38.4,1040
1174058000,암사제2동,강동구,76.34,38.4,1040
1174057000,암사제1동,강동구,76.34,38.4,1040
1111065000,혜화동,종로구,76.22,32.1,193
1144074000,상암동,마포구,76.19,37.5,104
1174065000,성내제2동,강동구,76.11,40.2,1230
1174066000,성내제3동,강동구,76.11,40.2,1230
1174064000,성내제1동,강동구,76.11,40.2,1230
1111060000,가회동,종로구,76.09,30.6,49
1126063000,묵제2동,중랑구,76.06,40.7,486
1126062000,묵제1동,중랑구,76.06,40.7,486
1111055000,부암동,종로구,75.94,31.9,188
1138056000,구산동,은평구,75.83,35.5,321
1141069000,남가좌제1동,서대문구,75.6,29.3,133
1141070000,남가좌제2동,서대문구,75.6,29.3,133
1129070500,종암동,성북구,75.5,34.6,246
1129068500,길음제2동,성북구,75.18,25.5,157
1147061100,신월7동,양천구,75.04,32.1,1586
1147061000,신월6동,양천구,75.04,32.1,1586
1147060000,신월5동,양천구,75.04,32.1,1586
1147059000,신월4동,양천구,75.04,32.1,1586
1147056000,신월1동,양천구,75.04,32.1,1586
1147058000,신월3동,양천구,75.04,32.1,1586
1147057000,신월2동,양천구,75.04,32.1,1586
1154568000,시흥제2동,금천구,74.75,32.4,1027
1154567000,시흥제1동,금천구,74.75,32.4,1027
1154569000,시흥제3동,금천구,74.75,32.4,1027
1154570000,시흥제4동,금천구,74.75,32.4,1027
1154571000,시흥제5동,금천구,74.75,32.4,1027
1123066000,장안제2동,동대문구,74.55,35.6,526
1123065000,장안제1동,동대문구,74.55,35.6,526
1135059500,공릉1동,노원구,74.54,37.0,335
1135060000,공릉2동,노원구,74.54,37.0,335
1129061000,보문동,성북구,74.39,12.2,74
1114057000,필동,중구,74.17,23.9,138
1171062000,가락본동,송파구,73.88,37.0,987
1171063100,가락1동,송파구,73.88,37.0,987
1171063200,가락2동,송파구,73.88,37.0,987
1132051100,창제1동,도봉구,73.76,31.3,830
1132051200,창제2동,도봉구,73.76,31.3,830
1132051300,창제3동,도봉구,73.76,31.3,830
1132051500,창제5동,도봉구,73.76,31.3,830
1132051400,창제4동,도봉구,73.76,31.3,830
1150060300,가양제1동,강서구,73.24,42.5,268
1138055200,갈현제2동,은평구,73.1,34.4,787
1138055100,갈현제1동,은평구,73.1,34.4,787
1129065000,정릉제4동,성북구,72.73,38.9,673
1129064000,정릉제3동,성북구,72.73,38.9,673
1132052200,도봉제2동,도봉구,72.69,28.2,216
1132052100,도봉제1동,도봉구,72.69,28.2,216
1121578000,능동,광진구,72.49,24.7,324
1114068000,중림동,중구,72.38,39.4,89
1126065500,망우본동,중랑구,72.25,22.1,385
1126066000,망우제3동,중랑구,72.25,22.1,385
1153056000,구로제5동,구로구,72.21,28.1,570
1153055000,구로제4동,구로구,72.21,28.1,570
1153054000,구로제3동,구로구,72.21,28.1,570
1153053000,구로제2동,구로구,72.21,28.1,570
1153052000,구로제1동,구로구,72.21,28.1,570
1150062000,공항동,강서구,72.15,36.0,1158
1150063000,방화제1동,강서구,72.15,36.0,1158
1123061000,답십리제2동,동대문구,72.14,17.8,236
1123060000,답십리제1동,동대문구,72.14,17.8,236
1129063000,정릉제2동,성북구,72.06,38.0,746
1174060000,천호제1동,강동구,71.88,32.6,1831
1174061000,천호제2동,강동구,71.88,32.6,1831
1174062000,천호제3동,강동구,71.88,32.6,1831
1111071000,숭인제2동,종로구,71.71,23.0,126
1111070000,숭인제1동,종로구,71.71,23.0,126
1171064100,문정1동,송파구,71.28,31.8,899
1171064200,문정2동,송파구,71.28,31.8,899
1171064600,장지동,송파구,71.28,31.8,899
1129062000,정릉제1동,성북구,71.21,37.0,785
1111051500,청운효자동,종로구,71.08,23.7,207
1171057000,오금동,송파구,70.82,34.2,555
1129055500,삼선동,성북구,70.5,31.4,204
1144071000,연남동,마포구,70.13,22.3,301
1171056100,방이1동,송파구,70.04,24.8,1504
1171056200,방이2동,송파구,70.04,24.8,1504
1171056600,오륜동,송파구,70.04,24.8,1504
1171058000,송파1동,송파구,69.87,29.5,1444
1171059000,송파2동,송파구,69.87,29.5,1444
1138060000,응암제3동,은평구,69.28,26.4,780
1138059000,응암제2동,은평구,69.28,26.4,780
1138058000,응암제1동,은평구,69.28,26.4,780
1130564500,우이동,강북구,69.18,35.0,1151
1126057000,면목제7동,중랑구,69.11,22.6,1821
