adm_cd,adm_nm,자치구,전세가율,고전세가율비율,jeonse_per_m2,거래건수
1111071000,숭인제2동,종로구,103.92,65.0,795.55,734
1111070000,숭인제1동,종로구,103.92,65.0,795.55,734
1154551000,가산동,금천구,94.12,74.5,742.29,1421
1111061500,종로1.2.3.4가동,종로구,88.97,54.6,820.97,174
1138062500,역촌동,은평구,86.62,34.0,529.8,1071
1132071000,방학제3동,도봉구,86.33,27.5,514.25,1897
1132070000,방학제2동,도봉구,86.33,27.5,514.25,1897
1132069000,방학제1동,도봉구,86.33,27.5,514.25,1897
1162063000,남현동,관악구,83.78,38.6,710.78,420
1121573000,군자동,광진구,83.72,49.1,844.45,452
1114067000,황학동,중구,82.76,53.6,843.27,1513
1111063000,종로5.6가동,종로구,82.35,66.8,1043.1,292
1150055000,화곡제2동,강서구,81.29,39.4,583.51,8312
1150056000,화곡제3동,강서구,81.29,39.4,583.51,8312
1150059300,화곡제8동,강서구,81.29,39.4,583.51,8312
1150054000,화곡제1동,강서구,81.29,39.4,583.51,8312
1150059100,화곡제6동,강서구,81.29,39.4,583.51,8312
1150057000,화곡제4동,강서구,81.29,39.4,583.51,8312
1150059000,화곡본동,강서구,81.29,39.4,583.51,8312
1114059000,광희동,중구,81.24,41.2,912.56,507
1130566000,인수동,강북구,80.87,37.3,451.39,1548
1130563500,수유3동,강북구,80.87,37.3,451.39,1548
1130562500,수유2동,강북구,80.87,37.3,451.39,1548
1130561500,수유1동,강북구,80.87,37.3,451.39,1548
1130564500,우이동,강북구,80.48,36.3,444.99,1710
1121571000,화양동,광진구,79.65,48.3,938.16,606
1154564000,독산제4동,금천구,78.55,42.5,681.83,4423
1154563000,독산제3동,금천구,78.55,42.5,681.83,4423
1154562000,독산제2동,금천구,78.55,42.5,681.83,4423
1154561000,독산제1동,금천구,78.55,42.5,681.83,4423
1114052000,소공동,중구,77.55,33.3,1105.01,195
1153077000,오류제1동,구로구,77.09,34.1,519.7,1500
1144066000,서교동,마포구,76.29,30.3,818.12,1141
1111060000,가회동,종로구,76.09,30.6,510.66,49
1111055000,부암동,종로구,76.02,31.5,479.37,213
1150061500,우장산동,강서구,75.85,33.0,590.63,10366
1126066000,망우제3동,중랑구,75.84,21.5,626.93,1773
1126065500,망우본동,중랑구,75.84,21.5,626.93,1773
1114057000,필동,중구,75.42,33.6,813.78,425
1114055000,명동,중구,74.95,31.4,985.46,309
1138056000,구산동,은평구,74.74,26.3,429.31,506
1121574000,중곡제1동,광진구,74.62,32.8,692.48,1810
1121577000,중곡제4동,광진구,74.62,32.8,692.48,1810
1121575000,중곡제2동,광진구,74.62,32.8,692.48,1810
1121576000,중곡제3동,광진구,74.62,32.8,692.48,1810
1111065000,혜화동,종로구,74.26,23.8,642.38,290
1126059000,상봉제2동,중랑구,74.21,36.0,701.94,1948
1126058000,상봉제1동,중랑구,74.21,36.0,701.94,1948
1111053000,사직동,종로구,74.02,38.1,782.58,320
1129060000,안암동,성북구,73.75,16.8,566.97,190
1162071500,난향동,관악구,73.58,23.7,596.65,4043
1162064500,서원동,관악구,73.58,23.7,596.65,4043
1162065500,신원동,관악구,73.58,23.7,596.65,4043
1162066500,서림동,관악구,73.58,23.7,596.65,4043
1162068500,신사동,관악구,73.58,23.7,596.65,4043
1162069500,신림동,관악구,73.58,23.7,596.65,4043
1162072500,조원동,관악구,73.58,23.7,596.65,4043
1162073500,대학동,관악구,73.58,23.7,596.65,4043
1162074500,삼성동,관악구,73.58,23.7,596.65,4043
1162076500,미성동,관악구,73.58,23.7,596.65,4043
1162077500,난곡동,관악구,73.58,23.7,596.65,4043
1111064000,이화동,종로구,73.48,34.8,427.38,132
1121578000,능동,광진구,73.34,28.5,828.91,355
1114054000,회현동,중구,72.18,15.5,987.55,335
1156053500,영등포동,영등포구,72.05,43.3,909.98,4443
1174061000,천호제2동,강동구,72.03,27.1,756.6,3783
1174062000,천호제3동,강동구,72.03,27.1,756.6,3783
1174060000,천호제1동,강동구,72.03,27.1,756.6,3783
1138063100,신사제1동,은평구,71.99,21.6,480.73,1393
1138063200,신사제2동,은평구,71.99,21.6,480.73,1393
1138055100,갈현제1동,은평구,71.97,34.1,472.35,1044
1138055200,갈현제2동,은평구,71.97,34.1,472.35,1044
1141058500,신촌동,서대문구,71.55,50.8,844.91,798
1114058000,장충동,중구,71.54,22.3,805.0,215
1138057000,대조동,은평구,71.51,24.3,600.45,1146
1123071000,회기동,동대문구,70.88,24.2,679.98,252
1156062000,양평제2동,영등포구,70.78,39.1,837.53,2391
1132052100,도봉제1동,도봉구,70.58,17.8,420.62,1230
1132052200,도봉제2동,도봉구,70.58,17.8,420.62,1230
1123065000,장안제1동,동대문구,70.36,33.0,675.33,2602
1123066000,장안제2동,동대문구,70.36,33.0,675.33,2602
1154567000,시흥제1동,금천구,70.25,24.3,502.51,2798
1154571000,시흥제5동,금천구,70.25,24.3,502.51,2798
1154570000,시흥제4동,금천구,70.25,24.3,502.51,2798
1154569000,시흥제3동,금천구,70.25,24.3,502.51,2798
1154568000,시흥제2동,금천구,70.25,24.3,502.51,2798
1111051500,청운효자동,종로구,69.94,26.1,534.37,222
1120079000,용답동,성동구,69.5,26.1,865.01,1043
1123070500,청량리동,동대문구,69.47,33.1,687.14,718
1114060500,을지로동,중구,69.32,27.2,1093.32,272
1126061000,중화제2동,중랑구,69.28,13.0,650.55,1301
1126060000,중화제1동,중랑구,69.28,13.0,650.55,1301
1174066000,성내제3동,강동구,69.15,21.7,743.08,2526
1174064000,성내제1동,강동구,69.15,21.7,743.08,2526
1174065000,성내제2동,강동구,69.15,21.7,743.08,2526
1150053500,등촌제3동,강서구,69.05,34.0,726.06,4515
1150053000,등촌제2동,강서구,69.05,34.0,726.06,4515
1150052000,등촌제1동,강서구,69.05,34.0,726.06,4515
1132066000,쌍문제1동,도봉구,68.83,11.5,417.16,1599
1132068100,쌍문제4동,도봉구,68.83,11.5,417.16,1599
1132068000,쌍문제3동,도봉구,68.83,11.5,417.16,1599
1132067000,쌍문제2동,도봉구,68.83,11.5,417.16,1599
1123053600,용신동,동대문구,67.54,26.8,886.81,2257
1126062000,묵제1동,중랑구,67.27,13.7,556.97,1312
1126063000,묵제2동,중랑구,67.27,13.7,556.97,1312
1123073000,휘경제2동,동대문구,66.88,14.0,728.25,1626
1123072000,휘경제1동,동대문구,66.88,14.0,728.25,1626
1162062500,인헌동,관악구,66.86,14.1,681.18,6119
1162060500,은천동,관악구,66.86,14.1,681.18,6119
1162059500,청룡동,관악구,66.86,14.1,681.18,6119
1162058500,낙성대동,관악구,66.86,14.1,681.18,6119
1162057500,행운동,관악구,66.86,14.1,681.18,6119
1162056500,성현동,관악구,66.86,14.1,681.18,6119
1162054500,청림동,관악구,66.86,14.1,681.18,6119
1162052500,보라매동,관악구,66.86,14.1,681.18,6119
1162061500,중앙동,관악구,66.86,14.1,681.18,6119
1111056000,평창동,종로구,66.24,13.2,514.75,288
1156061000,양평제1동,영등포구,65.83,31.4,772.49,1864
1174068500,길동,강동구,65.72,23.8,692.69,2095
1126056500,면목본동,중랑구,65.39,12.6,640.79,3302
1126055000,면목제5동,중랑구,65.39,12.6,640.79,3302
1126057000,면목제7동,중랑구,65.39,12.6,640.79,3302
1126057500,면목제3.8동,중랑구,65.39,12.6,640.79,3302
1126054000,면목제4동,중랑구,65.39,12.6,640.79,3302
1126052000,면목제2동,중랑구,65.39,12.6,640.79,3302
1150064000,방화제2동,강서구,65.39,12.0,574.47,2932
1150064100,방화제3동,강서구,65.39,12.0,574.47,2932
1138060000,응암제3동,은평구,65.06,9.8,685.53,3542
1138059000,응암제2동,은평구,65.06,9.8,685.53,3542
1138058000,응암제1동,은평구,65.06,9.8,685.53,3542
1141061500,연희동,서대문구,64.62,12.8,551.83,726
1156056000,당산제2동,영등포구,64.24,20.0,914.31,2690
1153052000,구로제1동,구로구,64.0,19.4,551.88,4857
1153053000,구로제2동,구로구,64.0,19.4,551.88,4857
1153054000,구로제3동,구로구,64.0,19.4,551.88,4857
1153055000,구로제4동,구로구,64.0,19.4,551.88,4857
1153056000,구로제5동,구로구,64.0,19.4,551.88,4857
1129065000,정릉제4동,성북구,63.92,9.4,484.87,1950
1129064000,정릉제3동,성북구,63.92,9.4,484.87,1950
