법정동코드,동이름,자치구,전세가율,고전세가율비율,거래건수
11290_동소문동4가,동소문동4가,성북구,130.15,81.0,21
11560_당산동,당산동,영등포구,124.58,91.1,112
11140_만리동1가,만리동1가,중구,121.85,91.7,36
11560_영등포동4가,영등포동4가,영등포구,119.01,100.0,16
11545_가산동,가산동,금천구,116.28,78.9,247
11410_대현동,대현동,서대문구,115.3,94.7,19
11560_영등포동8가,영등포동8가,영등포구,114.02,61.1,18
11290_동소문동7가,동소문동7가,성북구,111.81,83.3,6
11290_안암동4가,안암동4가,성북구,108.55,100.0,6
11290_안암동5가,안암동5가,성북구,106.58,52.6,19
11560_당산동3가,당산동3가,영등포구,99.98,80.0,30
11290_보문동6가,보문동6가,성북구,99.19,60.0,5
11290_보문동4가,보문동4가,성북구,99.18,100.0,2
11560_영등포동7가,영등포동7가,영등포구,95.52,73.0,74
11560_양평동3가,양평동3가,영등포구,94.51,62.5,24
11560_양평동5가,양평동5가,영등포구,94.44,60.4,91
11140_황학동,황학동,중구,94.34,73.7,95
11290_안암동2가,안암동2가,성북구,94.27,100.0,5
11110_연지동,연지동,종로구,93.15,83.3,12
11110_관수동,관수동,종로구,92.14,85.7,7
11560_양평동4가,양평동4가,영등포구,92.07,57.4,169
11500_염창동,염창동,강서구,91.96,68.1,144
11110_명륜4가,명륜4가,종로구,91.2,64.3,14
11500_내발산동,내발산동,강서구,90.34,42.7,354
11290_삼선동4가,삼선동4가,성북구,89.79,31.8,22
11500_가양동,가양동,강서구,89.36,61.7,107
11560_영등포동5가,영등포동5가,영등포구,89.01,68.0,25
11650_내곡동,내곡동,서초구,88.74,73.3,15
11350_하계동,하계동,노원구,88.36,43.3,60
11620_남현동,남현동,관악구,87.58,50.0,230
11140_예장동,예장동,중구,87.58,28.2,39
11215_화양동,화양동,광진구,87.21,51.8,222
11560_영등포동6가,영등포동6가,영등포구,86.43,60.7,56
11440_창전동,창전동,마포구,86.29,39.2,79
11560_문래동3가,문래동3가,영등포구,86.24,80.0,15
11560_영등포동2가,영등포동2가,영등포구,85.96,58.1,117
11260_상봉동,상봉동,중랑구,85.45,55.2,772
11350_중계동,중계동,노원구,85.4,52.4,124
11215_군자동,군자동,광진구,84.91,46.7,330
11110_충신동,충신동,종로구,84.63,100.0,9
11500_외발산동,외발산동,강서구,84.35,33.3,24
11500_화곡동,화곡동,강서구,84.11,41.7,4364
11620_봉천동,봉천동,관악구,83.6,45.0,1355
11140_회현동1가,회현동1가,중구,83.4,72.6,117
11500_등촌동,등촌동,강서구,83.36,39.4,843
11545_독산동,독산동,금천구,82.85,46.1,986
11560_당산동4가,당산동4가,영등포구,82.8,75.0,28
11110_명륜3가,명륜3가,종로구,82.72,38.5,39
11560_당산동1가,당산동1가,영등포구,82.13,52.4,166
11110_동숭동,동숭동,종로구,82.04,46.6,88
11290_하월곡동,하월곡동,성북구,81.89,28.0,118
11140_필동3가,필동3가,중구,81.8,55.6,18
11530_개봉동,개봉동,구로구,80.89,41.1,906
11230_회기동,회기동,동대문구,80.68,28.3,60
11500_공항동,공항동,강서구,80.66,44.6,460
11560_양평동1가,양평동1가,영등포구,79.73,52.3,44
11290_보문동2가,보문동2가,성북구,79.66,12.5,24
11110_홍지동,홍지동,종로구,79.64,45.5,11
11290_안암동3가,안암동3가,성북구,79.63,34.8,23
11350_월계동,월계동,노원구,79.63,32.9,228
11560_영등포동1가,영등포동1가,영등포구,79.2,52.0,25
11110_체부동,체부동,종로구,79.13,50.0,6
11380_역촌동,역촌동,은평구,78.64,37.6,686
11230_제기동,제기동,동대문구,78.64,42.8,285
11200_도선동,도선동,성동구,78.57,54.8,42
11110_신영동,신영동,종로구,78.17,31.1,122
11290_석관동,석관동,성북구,77.87,39.9,552
11110_원서동,원서동,종로구,77.76,34.9,43
11410_홍은동,홍은동,서대문구,77.55,37.5,451
11440_서교동,서교동,마포구,77.51,35.3,436
11620_신림동,신림동,관악구,77.35,38.3,1590
11110_누하동,누하동,종로구,77.04,40.0,5
11215_중곡동,중곡동,광진구,76.53,34.1,1618
11740_암사동,암사동,강동구,76.34,38.4,1040
11440_마포동,마포동,마포구,76.33,14.6,41
11110_명륜1가,명륜1가,종로구,76.25,35.9,64
11440_상암동,상암동,마포구,76.19,37.5,104
11740_성내동,성내동,강동구,76.11,40.2,1230
11260_묵동,묵동,중랑구,76.06,40.7,486
11380_구산동,구산동,은평구,75.83,35.5,321
11290_삼선동5가,삼선동5가,성북구,75.69,38.6,44
11410_남가좌동,남가좌동,서대문구,75.6,29.3,133
11290_종암동,종암동,성북구,75.5,34.6,246
11170_문배동,문배동,용산구,75.3,0.0,6
11470_신월동,신월동,양천구,75.04,32.1,1586
11110_누상동,누상동,종로구,74.96,28.6,91
