adm_cd,adm_nm,자치구,villa_total,newvilla_count,newvilla_ratio,area_km2,newvilla_density
1138065000,수색동,은평구,167,86,0.515,1.289,66.72
1144061000,염리동,마포구,303,125,0.4125,0.497,251.51
1120079000,용답동,성동구,142,49,0.3451,2.3753,20.63
1174051500,강일동,강동구,505,165,0.3267,2.2704,72.67
1174052000,상일동,강동구,325,104,0.32,,
1174056000,고덕제2동,강동구,287,91,0.3171,2.4749,36.77
1174055000,고덕제1동,강동구,287,91,0.3171,1.5158,60.03
1117057000,원효로제2동,용산구,141,43,0.305,0.7084,60.7
1174070000,둔촌제2동,강동구,317,92,0.2902,1.5492,59.39
1174069000,둔촌제1동,강동구,317,92,0.2902,0.9115,100.93
1144059000,용강동,마포구,485,139,0.2866,0.79,175.95
1171053200,거여2동,송파구,359,97,0.2702,0.5092,190.49
1171053100,거여1동,송파구,359,97,0.2702,0.5219,185.86
1165054000,잠원동,서초구,175,46,0.2629,1.7555,26.2
1165058000,반포3동,서초구,175,46,0.2629,1.2508,36.78
1123053600,용신동,동대문구,236,60,0.2542,1.6172,37.1
1144058500,도화동,마포구,94,22,0.234,0.6246,35.22
1168073000,일원1동,강남구,397,82,0.2065,0.9527,86.07
1168072000,일원본동,강남구,397,82,0.2065,2.3528,34.85
1168070000,세곡동,강남구,286,59,0.2063,6.362,9.27
1144055500,아현동,마포구,723,149,0.2061,0.7483,199.12
1117056000,원효로제1동,용산구,131,27,0.2061,0.5886,45.87
1156061000,양평제1동,영등포구,54,11,0.2037,0.9742,11.29
1156054000,여의동,영등포구,11,2,0.1818,8.4313,0.24
1126065500,망우본동,중랑구,501,90,0.1796,2.948,30.53
1126066000,망우제3동,중랑구,501,90,0.1796,0.9618,93.57
1117062500,한강로동,용산구,79,14,0.1772,2.8677,4.88
1114055000,명동,중구,42,7,0.1667,0.9689,7.22
1129061000,보문동,성북구,136,22,0.1618,0.5526,39.81
1171064700,위례동,송파구,614,97,0.158,2.6386,36.76
1168067000,개포2동,강남구,837,130,0.1553,2.2416,57.99
1144060000,대흥동,마포구,333,51,0.1532,0.8476,60.17
1117058000,효창동,용산구,207,31,0.1498,0.4459,69.52
1111063000,종로5.6가동,종로구,15,2,0.1333,0.6027,3.32
1144056500,공덕동,마포구,631,81,0.1284,1.0185,79.53
1138064000,증산동,은평구,286,36,0.1259,0.8071,44.6
1129060000,안암동,성북구,124,15,0.121,1.3785,10.88
1165055000,반포본동,서초구,703,84,0.1195,0.9718,86.44
1165057000,반포2동,서초구,703,84,0.1195,1.395,60.22
1165058100,반포4동,서초구,703,84,0.1195,1.4261,58.9
1165056000,반포1동,서초구,703,84,0.1195,0.9916,84.71
1126060000,중화제1동,중랑구,496,57,0.1149,0.6414,88.87
1126061000,중화제2동,중랑구,496,57,0.1149,1.0162,56.09
1156068000,신길제6동,영등포구,737,83,0.1126,0.6179,134.33
1156069000,신길제7동,영등포구,737,83,0.1126,0.6467,128.34
1156066000,신길제4동,영등포구,737,83,0.1126,0.3224,257.44
1156065000,신길제3동,영등포구,737,83,0.1126,0.5197,159.71
1156063000,신길제1동,영등포구,737,83,0.1126,0.7224,114.89
1114054000,회현동,중구,27,3,0.1111,0.8972,3.34
1168074000,일원2동,강남구,1388,154,0.111,,
1156051500,영등포본동,영등포구,827,90,0.1088,0.8457,106.42
1120062000,금호4가동,성동구,103,11,0.1068,0.8312,13.23
1159052000,노량진제2동,동작구,181,19,0.105,0.6001,31.66
1120066000,성수1가제2동,성동구,193,20,0.1036,0.9294,21.52
1120065000,성수1가제1동,성동구,193,20,0.1036,1.8844,10.61
1144063000,신수동,마포구,330,34,0.103,0.7973,42.64
1153072000,고척제1동,구로구,421,43,0.1021,1.1504,37.38
1153073000,고척제2동,구로구,421,43,0.1021,1.0247,41.96
1168066000,개포1동,강남구,472,48,0.1017,1.4488,33.13
1168069000,개포4동,강남구,472,48,0.1017,1.6642,28.84
1156067000,신길제5동,영등포구,1226,122,0.0995,0.4943,246.81
1123061000,답십리제2동,동대문구,197,19,0.0964,0.8751,21.71
1123060000,답십리제1동,동대문구,197,19,0.0964,0.7876,24.12
1156055000,당산제1동,영등포구,52,5,0.0962,0.7448,6.71
1141055500,북아현동,서대문구,314,30,0.0955,0.4587,65.4
1123072000,휘경제1동,동대문구,284,27,0.0951,0.5214,51.78
1123073000,휘경제2동,동대문구,284,27,0.0951,1.1128,24.26
1120052000,왕십리제2동,성동구,108,10,0.0926,0.3723,26.86
1129077000,장위제2동,성북구,860,76,0.0884,0.679,111.93
1129078000,장위제3동,성북구,860,76,0.0884,0.6521,116.55
1129076000,장위제1동,성북구,860,76,0.0884,0.708,107.34
1174053000,명일제1동,강동구,137,12,0.0876,0.6344,18.92
1174054000,명일제2동,강동구,137,12,0.0876,0.9136,13.13
1117059000,용문동,용산구,183,16,0.0874,0.2773,57.7
1121582000,자양제1동,광진구,964,82,0.0851,0.5684,144.26
1121583000,자양제2동,광진구,964,82,0.0851,1.6563,49.51
1121584000,자양제3동,광진구,964,82,0.0851,1.1955,68.59
1121584700,자양제4동,광진구,964,82,0.0851,1.1791,69.54
1159051000,노량진제1동,동작구,250,21,0.084,1.6122,13.03
1159060500,흑석동,동작구,193,16,0.0829,1.707,9.37
1154551000,가산동,금천구,169,14,0.0828,2.511,5.58
1117066000,이태원제2동,용산구,320,26,0.0812,0.8735,29.77
1117065000,이태원제1동,용산구,320,26,0.0812,0.5824,44.64
1117055500,청파동,용산구,518,42,0.0811,0.8855,47.43
1156071000,대림제2동,영등포구,489,39,0.0798,0.5721,68.17
1156070000,대림제1동,영등포구,489,39,0.0798,0.4986,78.22
1156072000,대림제3동,영등포구,489,39,0.0798,0.921,42.35
1120053500,왕십리도선동,성동구,141,11,0.078,0.7097,15.5
1129081000,석관동,성북구,348,27,0.0776,1.7039,15.85
1159065000,사당제4동,동작구,1366,104,0.0761,0.4358,238.64
1159065100,사당제5동,동작구,1366,104,0.0761,0.6817,152.56
1159064000,사당제3동,동작구,1366,104,0.0761,0.907,114.66
1159062000,사당제1동,동작구,1366,104,0.0761,0.6347,163.86
1141056500,충현동,서대문구,395,30,0.0759,1.1152,26.9
1156058500,도림동,영등포구,147,11,0.0748,0.5855,18.79
1159063000,사당제2동,동작구,1422,104,0.0731,2.7611,37.67
1154561000,독산제1동,금천구,1141,82,0.0719,2.0604,39.8
1154562000,독산제2동,금천구,1141,82,0.0719,0.6168,132.94
1154563000,독산제3동,금천구,1141,82,0.0719,0.9343,87.77
1154564000,독산제4동,금천구,1141,82,0.0719,0.5906,138.84
1144065500,서강동,마포구,323,23,0.0712,1.4777,15.56
1129066000,길음제1동,성북구,213,15,0.0704,0.7967,18.83
1141065500,홍제제2동,서대문구,636,44,0.0692,,
1141064000,홍제제3동,서대문구,636,44,0.0692,,
1141062000,홍제제1동,서대문구,636,44,0.0692,,
1121578000,능동,광진구,184,12,0.0652,1.0913,11.0
1171064100,문정1동,송파구,508,33,0.065,0.6121,53.91
1120054000,마장동,성동구,95,6,0.0632,1.0342,5.8
1153077000,오류제1동,구로구,525,33,0.0629,0.7271,45.39
1126068000,신내1동,중랑구,211,13,0.0616,2.6028,4.99
1126069000,신내2동,중랑구,211,13,0.0616,0.9106,14.28
1123071000,회기동,동대문구,65,4,0.0615,0.7663,5.22
1165051000,서초1동,서초구,736,45,0.0611,1.3816,32.57
1165052000,서초2동,서초구,736,45,0.0611,1.2302,36.58
1165053100,서초4동,서초구,736,45,0.0611,0.8791,51.19
1174062000,천호제3동,강동구,989,60,0.0607,0.5611,106.93
1174060000,천호제1동,강동구,989,60,0.0607,0.6685,89.75
1174061000,천호제2동,강동구,989,60,0.0607,1.8497,32.44
1141066000,홍은제1동,서대문구,867,52,0.06,1.5976,32.55
1141068500,홍은제2동,서대문구,867,52,0.06,2.0735,25.08
1150060300,가양제1동,강서구,319,19,0.0596,4.8658,3.9
1171058000,송파1동,송파구,946,56,0.0592,0.6864,81.59
1171059000,송파2동,송파구,946,56,0.0592,0.6305,88.82
1154567000,시흥제1동,금천구,1392,80,0.0575,1.5222,52.56
1154571000,시흥제5동,금천구,1392,80,0.0575,1.386,57.72
1154570000,시흥제4동,금천구,1392,80,0.0575,0.8211,97.43
1154569000,시흥제3동,금천구,1392,80,0.0575,1.2605,63.47
1154568000,시흥제2동,금천구,1392,80,0.0575,1.3079,61.17
1132066000,쌍문제1동,도봉구,1127,64,0.0568,1.1749,54.47
1132067000,쌍문제2동,도봉구,1127,64,0.0568,0.5408,118.34
1132068000,쌍문제3동,도봉구,1127,64,0.0568,0.5044,126.88
1132068100,쌍문제4동,도봉구,1127,64,0.0568,0.5544,115.44
1153059500,가리봉동,구로구,195,11,0.0564,0.4107,26.78
1138059000,응암제2동,은평구,1108,62,0.056,0.7547,82.15
1138058000,응암제1동,은평구,1108,62,0.056,1.109,55.91
1138060000,응암제3동,은평구,1108,62,0.056,0.7522,82.42
1144066000,서교동,마포구,497,27,0.0543,1.6775,16.1
1129052500,성북동,성북구,314,17,0.0541,2.8776,5.91
1153078000,오류제2동,구로구,615,33,0.0537,3.0589,10.79
1144071000,연남동,마포구,378,20,0.0529,0.647,30.91
1111071000,숭인제2동,종로구,229,12,0.0524,0.3516,34.13
1111070000,숭인제1동,종로구,229,12,0.0524,0.2392,50.17
1120072000,송정동,성동구,58,3,0.0517,0.6814,4.4
1156053500,영등포동,영등포구,137,7,0.0511,1.3714,5.1
1126058000,상봉제1동,중랑구,298,15,0.0503,0.8531,17.58
1126059000,상봉제2동,중랑구,298,15,0.0503,0.6769,22.16
1123066000,장안제2동,동대문구,473,23,0.0486,0.9959,23.09
1123065000,장안제1동,동대문구,473,23,0.0486,1.3411,17.15
1123054500,제기동,동대문구,271,13,0.048,1.1808,11.01
1123057000,전농제2동,동대문구,272,13,0.0478,0.9768,13.31
