adm_cd,adm_nm,자치구,S_JVWI,구피해,주요위험변수
1111070000,숭인제1동,종로구,54.71,34,"전세가율(18), 고전세가율(12), 오피스텔비중(9)"
1111071000,숭인제2동,종로구,53.86,34,"전세가율(18), 고전세가율(12), 오피스텔비중(9)"
1121573000,군자동,광진구,50.44,134,"전세가율(14), 다가구밀집(10), 고전세가율(9)"
1130562500,수유2동,강북구,48.47,187,"전세가율(14), 다가구밀집(8), 고전세가율(7)"
1121571000,화양동,광진구,48.34,134,"전세가율(14), 다가구밀집(10), 고전세가율(9)"
1121575000,중곡제2동,광진구,48.1,134,"전세가율(13), 다가구밀집(10), 고전세가율(6)"
1130563500,수유3동,강북구,46.46,187,"전세가율(14), 다가구밀집(8), 고전세가율(7)"
1121576000,중곡제3동,광진구,45.67,134,"전세가율(13), 다가구밀집(10), 고전세가율(6)"
1121574000,중곡제1동,광진구,45.34,134,"전세가율(13), 다가구밀집(10), 고전세가율(6)"
1111063000,종로5.6가동,종로구,43.82,34,"전세가율(14), 고전세가율(13), 오피스텔비중(10)"
1114067000,황학동,중구,43.41,19,"전세가율(14), 고전세가율(10), 오피스텔비중(9)"
1120079000,용답동,성동구,43.29,25,"전세가율(12), 다가구밀집(8), 오피스텔비중(8)"
1171053200,거여2동,송파구,42.92,198,"신축밀집(18), 인구밀도(7), 전세가율(7)"
1130561500,수유1동,강북구,40.95,187,"전세가율(14), 다가구밀집(8), 고전세가율(7)"
1132069000,방학제1동,도봉구,40.68,158,"전세가율(15), 다가구밀집(6), 공시지가괴리(6)"
1141058500,신촌동,서대문구,40.52,200,"전세가율(12), 고전세가율(10), 오피스텔비중(8)"
1130564500,우이동,강북구,39.99,187,"전세가율(14), 다가구밀집(10), 고전세가율(7)"
1130566000,인수동,강북구,39.64,187,"전세가율(14), 다가구밀집(8), 고전세가율(7)"
1121577000,중곡제4동,광진구,39.3,134,"전세가율(13), 다가구밀집(10), 고전세가율(6)"
1132070000,방학제2동,도봉구,39.07,158,"전세가율(15), 다가구밀집(6), 공시지가괴리(6)"
1171053100,거여1동,송파구,38.76,198,"신축밀집(18), 전세가율(7), 공시지가괴리(4)"
1144061000,염리동,마포구,38.76,164,"신축밀집(11), 전세가율(8), 인구밀도(5)"
1121585000,구의제1동,광진구,38.68,134,"전세가율(10), 다가구밀집(7), 신축밀집(7)"
1132071000,방학제3동,도봉구,37.78,158,"전세가율(15), 다가구밀집(6), 공시지가괴리(6)"
1168065000,역삼2동,강남구,37.37,68,"전세가율(10), 다가구밀집(8), 인구밀도(5)"
1144066000,서교동,마포구,37.01,164,"전세가율(13), 다가구밀집(10), 고전세가율(6)"
1144055500,아현동,마포구,36.91,164,"신축밀집(10), 전세가율(8), 인구밀도(6)"
1130557500,삼각산동,강북구,36.65,187,"다가구밀집(10), 전세가율(9), 인구밀도(8)"
1121578000,능동,광진구,36.48,134,"전세가율(12), 다가구밀집(8), 고전세가율(5)"
