변수,Spearman_피해누적,p_누적,Spearman_인구당,p_인구당,abs_누적
pop_density,0.7438,0.0,0.6931,0.0001,0.7438
dagagu_count,0.6292,0.0008,0.6477,0.0005,0.6292
new_density,0.5146,0.0085,0.4546,0.0224,0.5146
전세가율,0.4285,0.0326,0.57,0.0029,0.4285
gongsi_per_m2,-0.4262,0.0337,-0.4831,0.0144,0.4262
jeonse_per_m2,-0.4138,0.0397,-0.4777,0.0157,0.4138
고전세가율비율,0.3731,0.0662,0.4946,0.012,0.3731
공시지가대비전세가괴리,0.3654,0.0725,0.3623,0.0751,0.3654
officetel_share,0.3469,0.0893,0.4538,0.0227,0.3469
avg_age,-0.2592,0.2108,-0.1115,0.5956,0.2592
apt_share,-0.2562,0.2165,-0.3346,0.1021,0.2562
youth_ratio,0.2385,0.251,0.2785,0.1777,0.2385
old30_ratio,-0.2254,0.2787,-0.0654,0.7562,0.2254
small_ratio,-0.1031,0.6239,0.0254,0.9041,0.1031
avg_units,-0.0923,0.6608,-0.2546,0.2193,0.0923
villa_share,-0.0077,0.9709,0.0069,0.9738,0.0077
