구분,2023년,2024년,2025년
종로구, 5 , 14 , 15 
중구, 2 , 10 , 7 
용산구, 1 , 1 , 2 
성동구, 4 , 9 , 12 
광진구, 26 , 44 , 64 
동대문구, 27 , 275 , 201 
중랑구, 118 , 103 , 62 
성북구, 92 , 123 , 56 
강북구, 63 , 67 , 57 
도봉구, 60 , 60 , 38 
노원구, 2 , 11 , 9 
은평구, 135 , 182 , 100 
서대문구, 31 , 109 , 60 
마포구, 44 , 86 , 34 
양천구, 126 , 138 , 90 
강서구, 614 , 585 , 428 
구로구, 183 , 209 , 135 
금천구, 216 , 271 , 288 
영등포구, 84 , 213 , 201 
동작구, 188 , 392 , 394 
관악구, 383 ," 1,108 ", 801 
서초구, 3 , 10 , 16 
강남구, 11 , 30 , 27 
송파구, 23 , 69 , 106 
강동구, 61 , 79 , 101 
총합계," 2,502 "," 4,198 "," 3,304 "
